order_date,product_id,product_name,category,price,quantity,revenue
2024-09-13,4,Paprika,,6,57,342
2024-12-09,3,Electric Razor,,1,43,43
2024-12-10,30,Plant-Based Protein Bars,,31,10,310
2025-01-29,92,Vegan Chickpea Salad,,85,94,7990
2025-04-27,30,Chipotle Lime Salsa,,81,60,4860
2025-04-03,54,Video Camera,,24,2,48
2024-07-16,100,Lemon Garlic Marinade,,96,44,4224
2024-12-10,88,Herb Garden Planter Box,,34,48,1632
2025-03-03,82,Noise-Canceling Earbuds,,43,16,688
2024-12-30,23,Handcrafted Wooden Jewelry Box,,50,53,2650
2024-09-01,49,Summer Tank Dress,,17,56,952
2025-04-01,72,Kids' Activity Book,,60,80,4800
2025-04-03,23,Adjustable Laptop Desk,,14,78,1092
2025-01-20,78,Crispy Onion Rings,,1,2,2
2024-11-16,86,Maxi Wrap Dress,,79,62,4898
2025-01-15,35,Wireless Charging Pad,,48,96,4608
2025-07-02,94,Maple Bacon Popcorn,,77,76,5852
2024-10-15,98,Travel Beach Blanket,,70,92,6440
2025-07-04,8,Cushion Covers,,59,67,3953
2025-05-08,12,Adjustable Bar Stools,,56,16,896
2025-04-26,36,Beef Taco Skillet,,98,59,5782
2025-06-21,25,Zucchini Noodle Pasta,,68,86,5848
2024-07-23,99,Garden Vegetable Soup,,66,34,2244
2024-08-27,47,Honeycrisp Apple Chips,,85,66,5610
2025-01-16,5,Interactive Plush Toy,,92,12,1104
2025-03-31,36,Frozen Edamame,,45,11,495
2024-08-03,45,Board Game Storage,,23,2,46
2025-06-02,51,Mediterranean Chickpea Salad,,69,35,2415
2025-05-16,60,Organic Italian Seasoning,,51,13,663
2025-02-23,40,Wireless Earbuds Case,,84,75,6300
2025-01-28,70,Mixed Berry Smoothie Pack,,25,87,2175
2025-04-21,3,Quinoa & Black Bean Salad,,80,3,240
2025-01-14,99,Paint By Numbers Kit,,36,57,2052
2025-05-11,22,Collapsible Folding Chair,,72,48,3456
2024-09-12,86,Vegan Taco Seasoning,,59,57,3363
2025-01-09,38,Roasted Garlic Aioli,,56,62,3472
2025-06-24,44,Children's Educational Puzzle,,48,63,3024
2025-03-17,4,Pasta (Fusilli),,38,23,874
